[2020-11-02 11:20:23,779][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:20:36,089][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:20:36,126][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:20:36,248][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:20:36,260][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:20:36,272][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:20:36,331][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:20:36,342][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:20:36,353][http-nio-8081-exec-1][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:25:37,610][http-nio-8081-exec-5][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:25:37,708][http-nio-8081-exec-5][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:25:37,735][http-nio-8081-exec-5][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:25:37,806][http-nio-8081-exec-5][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:25:37,817][http-nio-8081-exec-5][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:25:37,829][http-nio-8081-exec-5][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:25:38,058][http-nio-8081-exec-5][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException: argument type mismatch
[2020-11-02 11:25:38,112][http-nio-8081-exec-5][ERROR][com.shangshufang.apiservice.common.ObjectConvertUtils:91] java.lang.IllegalArgumentException
